Accuracy,Val_Accuracy,Loss,Val_Loss,Epoch,Early_Stop
0.4925000071525574,0.6050000190734863,0.6932211518287659,0.6929574012756348,1,18
0.5162500143051147,0.5249999761581421,0.6929364800453186,0.6925621628761292,2,18
0.5325000286102295,0.5299999713897705,0.6927675604820251,0.6919342279434204,3,18
0.574999988079071,0.6000000238418579,0.6916710734367371,0.6907316446304321,4,18
0.6150000095367432,0.5799999833106995,0.6897514462471008,0.6876847147941589,5,18
0.6775000095367432,0.7200000286102295,0.6832587718963623,0.6802109479904175,6,18
0.7450000047683716,0.6499999761581421,0.666679859161377,0.664600670337677,7,18
0.75,0.7900000214576721,0.6376268267631531,0.6395283937454224,8,18
0.7875000238418579,0.7599999904632568,0.5785565972328186,0.5972195267677307,9,18
0.8487499952316284,0.7400000095367432,0.488063246011734,0.5363524556159973,10,18
0.8537499904632568,0.7900000214576721,0.4034528434276581,0.48950645327568054,11,18
0.9024999737739563,0.800000011920929,0.30431345105171204,0.4543330669403076,12,18
0.8999999761581421,0.8199999928474426,0.2612846791744232,0.42376160621643066,13,18
0.9449999928474426,0.7950000166893005,0.18701408803462982,0.4414919912815094,14,18
0.9512500166893005,0.8100000023841858,0.16966480016708374,0.41375333070755005,15,18
0.9412500262260437,0.8100000023841858,0.159460186958313,0.4329051673412323,16,18
0.949999988079071,0.8199999928474426,0.13625770807266235,0.41247498989105225,17,18
0.9637500047683716,0.824999988079071,0.1146048903465271,0.41654345393180847,18,18
0.9474999904632568,0.7950000166893005,0.1426103264093399,0.4346827566623688,19,18
0.9674999713897705,0.7850000262260437,0.09548797458410263,0.4474325180053711,20,18
